"性別" "數學" "數學興趣" "數學評價" "數學信心" "科學" "科學興趣" "科學評價" "科學信心" "教育資源" "父母教育"
"男" 459.87103 7.13627 5.39638 9.22591 459.95595 8.69661 7.81751 9.61581 8.3581 "高中"
"男" 681.70861 13.84849 13.48293 12.59517 636.89355 13.51778 12.9367 11.39185 9.03613 "高中"
"女" 599.27398 10.25252 6.90631 11.75008 522.0997 7.9045 7.61946 7.80038 10.84499 "大學以上"
"男" 537.62525 9.68157 6.90631 9.89515 524.09328 8.09896 7.61946 9.12286 12.25657 "大學以上"
"男" 626.86892 10.45644 7.50425 10.84951 564.36899 10.68878 7.21074 8.08863 7.56439 "初中"
"男" 659.04918 12.72711 11.3019 15.85188 617.93889 13.51778 11.88785 14.84182 13.51543 "大學以上"
"男" 589.92608 8.16805 7.70526 7.97991 614.96678 10.68878 8.41123 9.36803 10.84499 "大學以上"
"男" 803.58998 10.45644 9.08085 11.75008 732.02038 9.11856 9.02481 9.61581 13.51543 "大學以上"
"男" 617.02071 8.16805 6.7011 7.678 572.65784 9.34076 6.75863 7.80038 9.64761 "高中"
"男" 668.38483 10.25252 9.35676 10.12116 637.72452 13.51778 10.13091 9.61581 9.03613 "高中"
"男" 720.55649 10.89898 8.57829 10.84951 628.05398 9.34076 9.45051 8.87381 13.51543 "大學以上"
"男" 587.35392 10.67004 9.98068 8.25602 546.91253 10.68878 11.88785 9.12286 10.23835 "高中"
"女" 741.65084 10.67004 9.65438 11.75008 718.79259 11.533 10.65629 11.39185 9.03613 "專科"
